Item,Sentence
id_00000001,"color is Cream Unlined Lightweight, woven"
id_00000002,"color is Black blush Unlined, buttoned slit in back Lightweight, woven"
id_00000003,"color is Heather grey Lightweight, woven Concealed back zipper, fully lined"
id_00000004,"color is Black cream Unlined Lightweight, woven"
id_00000005,"color is Burgundy Semi-sheer, unlined Lightweight"
id_00000006,"color is Heather grey black Lightweight knit 60% cotton, 40% polyester"
id_00000007,color is Heather grey black Officially licensed product Lightweight knit
id_00000008,"color is Black Semi-sheer, lightweight 95% rayon, 5% spandex"
id_00000009,"color is Cream multi 34"" approx. length from high point shoulder to hem, 32"" chest, 30"" waist, 19"" sleeve length from high point shoulder Measured from Small"
id_00000010,"color is Black Midweight 60% cotton, 40% acrylic"
id_00000011,"color is Black red Invisible back zipper Unlined, woven"
id_00000012,color is Heather grey black Scoop neckline Lightweight
id_00000013,"color is Navy Snap-button front, fully lined Midweight, woven"
id_00000014,color is Oatmeal black Lightweight Knit
id_00000015,color is Yellow Unlined Lightweight woven
id_00000016,"color is Navy red 100% cotton 30"" full length, 42"" chest, 42"" waist, 9"" sleeve length"
id_00000017,"color is Light heather grey Knit 48% rayon, 48% polyester, 4% spandex"
id_00000018,color is Cream Ribbed trim Lightweight
id_00000019,"color is White black Knit 60% cotton, 40% polyester"
id_00000020,"color is Cream black Contrast trim, scoop neck 95% cotton, 5% spandex"
id_00000021,color is Rust Partially lined Knit
id_00000022,"color is Grey white Lightweight, woven Unlined"
id_00000023,"color is Peach 34"" approx. length from high point shoulder to hem, 34"" chest, 28"" waist, 12"" sleeve length from high point shoulder Measured from Small"
id_00000024,color is Red navy Lightweight Woven
id_00000025,color is Green Unlined Lightweight
id_00000026,"color is Lavender Partially lined, buttoned keyhole back Lightweight knit"
id_00000027,"color is Cream Partially lined, woven Shell: 100% cotton; Lining: 100% polyester"
id_00000028,color is Cream multi Fully lined Lightweight woven
id_00000029,"color is Heather navy Unlined, lightweight 68% rayon, 27% nylon, 5% spandex"
id_00000030,color is Oatmeal Shallow round neckline Lightweight
id_00000031,color is Ivory grey Lightweight Unlined
id_00000032,"color is Cream Lightweight knit 68% polyester, 30% rayon, 2% spandex"
id_00000033,"color is Periwinkle Side boning at bust, mock back pockets Partially lined, invisible back zipper"
id_00000034,"color is Mauve pink Concealed back zipper, partially lined Lightweight, woven"
id_00000035,color is Wine Lightweight knit Unlined
id_00000036,color is Black cream Lightweight knit 100% cotton
id_00000037,"color is Black Unlined, knit 96% rayon, 4% spandex"
id_00000038,color is Cream black Cuffed short sleeves Unlined
id_00000039,"color is Teal navy Lightweight knit 77% acrylic, 19% cotton, 2% polyester, 2% metallic yarn"
